FIPS,Rate_x,Rate_y,Rate
5143,538.8,116.4,3.7
5145,425.6,95.6,1.3
5147,325.2,169.7,0.0
5149,283.2,36.5,4.6
6001,456.9,146.1,9.2
6003,258.8,0.0,0.0
6005,153.3,32.9,0.0
6007,489.9,138.2,0.5
6009,150.5,42.7,0.0
6011,173.2,23.4,0.0
6013,388.4,93.9,7.6
6015,211.7,57.4,0.0
6017,178.3,27.5,1.1
6019,599.8,159.0,12.4
6021,275.6,25.1,0.0
6023,330.9,106.3,1.5
6025,411.7,47.6,4.0
6027,330.3,48.7,0.0
6029,734.3,179.1,16.2
6031,354.4,98.0,13.9
6033,277.2,104.9,3.1
6035,248.7,37.3,0.0
6037,547.9,152.9,12.0
6039,526.3,105.7,8.5
6041,237.6,33.7,6.6
6043,157.7,33.8,0.0
6045,329.2,63.1,0.0
6047,394.7,71.4,4.9
6049,65.6,10.9,0.0
6051,156.3,28.4,7.1
6053,397.1,69.0,5.8
6055,271.5,42.8,4.3
6057,225.1,27.5,0.0
6059,301.2,58.2,6.5
6061,240.7,39.5,3.0
6063,291.6,15.9,0.0
6065,384.2,73.5,8.2
6067,529.1,152.3,9.4
6069,251.7,38.2,1.7
6071,514.9,124.8,4.8
6073,490.6,106.5,11.6
6075,721.4,397.4,56.1
6077,502.6,141.5,12.5
6079,376.6,54.6,2.2
6081,302.1,48.3,7.0
6083,463.9,45.4,5.5
6085,329.4,82.2,6.4
6087,340.0,66.8,11.5
6089,381.6,212.3,1.1
6091,131.3,32.8,0.0
6093,258.0,73.1,9.1
6095,544.0,143.1,8.5
6097,332.3,44.2,6.1
6099,450.2,150.9,12.4
6101,353.4,88.1,0.0
6103,302.9,118.9,1.6
6105,133.8,52.1,0.0
6107,515.9,86.8,6.4
6109,189.3,42.7,7.4
6111,295.3,43.2,5.7
6113,356.8,94.8,5.9
6115,355.9,117.3,4.1
8001,429.9,49.7,3.4
8003,479.9,92.3,0.0
8005,572.1,74.6,4.8
8007,205.0,32.8,0.0
8009,108.6,0.0,0.0
8011,228.6,52.7,0.0
8013,308.0,27.4,1.6
8014,275.8,33.6,1.7
8015,178.3,21.6,0.0
8017,0.0,0.0,0.0
8019,110.7,11.1,11.1
8021,290.0,12.1,0.0
8023,199.0,0.0,0.0
8025,244.3,37.6,0.0
8027,116.7,23.3,0.0
8029,187.0,3.3,0.0
8031,911.3,166.3,13.9
8033,98.6,0.0,0.0
8035,166.4,15.4,0.3
8037,263.1,9.5,1.9
8039,139.0,21.1,4.2
8041,383.5,78.5,0.9
8043,230.4,19.4,0.0
8045,270.5,26.2,1.7
8047,89.3,35.7,0.0
8049,119.0,28.0,0.0
8051,283.7,6.4,0.0
8053,0.0,0.0,0.0
8055,184.1,46.0,0.0
8057,73.3,0.0,0.0
8059,217.1,31.5,2.5
8061,0.0,0.0,0.0
8063,87.1,0.0,12.4
8065,232.7,27.4,0.0
8067,347.2,33.8,0.0
8069,288.0,23.1,1.9
8071,283.8,27.7,0.0
8073,147.3,18.4,0.0
8075,262.8,4.5,0.0
8077,378.2,30.5,0.0
8079,416.1,0.0,0.0
8081,259.5,30.5,0.0
8083,479.7,74.1,0.0
8085,275.1,2.5,0.0
8087,285.2,24.6,3.5
8089,299.4,5.3,0.0
8091,109.7,0.0,0.0
8093,111.7,6.2,0.0
8095,229.6,0.0,0.0
8097,207.1,23.0,0.0
8099,423.1,0.0,0.0
8101,483.1,136.9,3.1
8103,102.8,29.4,0.0
8105,440.6,50.8,0.0
8107,161.6,8.5,4.3
8109,128.9,0.0,0.0
8111,289.0,0.0,0.0
8113,169.3,26.0,0.0
8115,211.9,0.0,0.0
8117,237.4,17.5,7.0
8119,111.7,12.9,0.0
8121,83.3,0.0,0.0
8123,369.2,24.5,1.5
8125,177.3,0.0,0.0
9001,309.9,49.4,2.0
9003,462.4,89.7,2.6
9005,155.1,25.1,0.0
9007,186.0,30.2,1.8
9009,459.6,84.2,3.9
9011,309.7,32.1,2.6
9013,165.8,25.1,0.0
9015,258.5,13.6,0.0
10001,569.0,141.1,4.7
10003,482.8,143.5,6.0
10005,413.7,121.5,2.9
11001,0.3,0.5,0.0
