GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
8600000US00925,00925,ZCTA5 00925,0.5847,0.0293
8600000US00926,00926,ZCTA5 00926,0.5438,0.0162
8600000US00927,00927,ZCTA5 00927,0.5937,0.0333
8600000US00934,00934,ZCTA5 00934,0.1478,0.0481
8600000US00936,00936,ZCTA5 00936,-,**
8600000US00949,00949,ZCTA5 00949,0.4669,0.0130
8600000US00950,00950,ZCTA5 00950,-,**
8600000US00951,00951,ZCTA5 00951,0.0501,0.0448
8600000US00952,00952,ZCTA5 00952,0.4632,0.0342
8600000US00953,00953,ZCTA5 00953,0.4822,0.0148
8600000US00956,00956,ZCTA5 00956,0.4509,0.0123
8600000US00957,00957,ZCTA5 00957,0.4730,0.0130
8600000US00959,00959,ZCTA5 00959,0.4849,0.0254
8600000US00960,00960,ZCTA5 00960,-,**
8600000US00961,00961,ZCTA5 00961,0.5052,0.0233
8600000US00962,00962,ZCTA5 00962,0.5472,0.0277
8600000US00965,00965,ZCTA5 00965,0.4291,0.0258
8600000US00966,00966,ZCTA5 00966,0.5512,0.0287
8600000US00968,00968,ZCTA5 00968,0.5167,0.0314
8600000US00969,00969,ZCTA5 00969,0.4943,0.0245
8600000US00971,00971,ZCTA5 00971,0.5295,0.0288
8600000US00976,00976,ZCTA5 00976,0.5096,0.0227
8600000US00979,00979,ZCTA5 00979,0.4935,0.0278
8600000US00982,00982,ZCTA5 00982,0.4672,0.0321
8600000US00983,00983,ZCTA5 00983,0.4904,0.0484
8600000US00985,00985,ZCTA5 00985,0.4549,0.0185
8600000US00987,00987,ZCTA5 00987,0.4537,0.0173
8600000US01001,01001,ZCTA5 01001,0.3965,0.0231
8600000US01002,01002,ZCTA5 01002,0.5202,0.0253
8600000US01003,01003,ZCTA5 01003,0.1622,0.2845
8600000US01005,01005,ZCTA5 01005,0.3859,0.0613
8600000US01007,01007,ZCTA5 01007,0.4104,0.0244
8600000US01008,01008,ZCTA5 01008,0.3045,0.0295
8600000US01009,01009,ZCTA5 01009,0.3096,0.0560
8600000US01010,01010,ZCTA5 01010,0.3956,0.0415
8600000US01011,01011,ZCTA5 01011,0.3699,0.0329
8600000US01012,01012,ZCTA5 01012,0.4184,0.0606
8600000US01013,01013,ZCTA5 01013,0.4061,0.0165
8600000US01020,01020,ZCTA5 01020,0.4230,0.0265
8600000US01022,01022,ZCTA5 01022,0.3188,0.0481
8600000US01026,01026,ZCTA5 01026,0.4621,0.0927
