ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,,
12528,106793691,1667175,41.23,0.64,"13,344","5,454",41.722054,-74.009482,,
12529,170926882,2511224,66.00,0.97,"2,859","1,908",42.198740,-73.542728,,
12530,900455,0,0.35,0.00,124,65,42.207467,-73.687764,,
12531,45311426,2606887,17.49,1.01,"3,601","1,450",41.540555,-73.671671,,
12533,125881545,1960407,48.60,0.76,"25,307","9,222",41.561643,-73.787605,,
12534,225343752,3146261,87.01,1.21,"17,867","8,716",42.217345,-73.752256,,
12538,68315753,514961,26.38,0.20,"14,578","5,674",41.792345,-73.893141,,
12540,88356663,776738,34.11,0.30,"7,802","2,785",41.671202,-73.724891,,
12542,37073189,516313,14.31,0.20,"5,913","2,436",41.613876,-74.015014,,
12543,29725867,1596747,11.48,0.62,"3,001","1,178",41.495540,-74.173101,,
12545,140368268,2074452,54.20,0.80,"4,763","2,431",41.782912,-73.669343,,
12546,118132331,1306106,45.61,0.50,"3,039","1,642",41.948000,-73.523357,,
12547,26804787,452325,10.35,0.17,"2,891","1,174",41.660687,-73.986567,,
12548,15205630,538480,5.87,0.21,"1,494",597,41.657701,-74.101802,,
12549,100515697,1355805,38.81,0.52,"10,201","3,704",41.528031,-74.259365,,
12550,89919649,3002177,34.72,1.16,"54,447","20,342",41.539574,-74.057223,,
12553,63896350,2362435,24.67,0.91,"24,438","9,650",41.455714,-74.074901,,
12561,154097024,2195836,59.50,0.85,"18,308","6,733",41.759307,-74.096058,,
12563,59105048,1405403,22.82,0.54,"8,084","2,600",41.499189,-73.587226,,
12564,105193151,1525869,40.62,0.59,"7,338","3,052",41.582617,-73.582587,,
12565,3758959,113677,1.45,0.04,"1,487",705,42.247128,-73.647638,,
12566,140847882,543819,54.38,0.21,"10,753","4,322",41.633519,-74.319661,,
12567,118836781,1493278,45.88,0.58,"2,854","1,579",41.986196,-73.642221,,
12569,85571044,1448490,33.04,0.56,"9,826","4,086",41.734556,-73.792840,,
12570,55711916,689352,21.51,0.27,"7,699","2,662",41.626321,-73.675662,,
12571,150018905,1682551,57.92,0.65,"9,918","4,548",42.002775,-73.809608,,
12572,130943241,2525703,50.56,0.98,"9,123","4,376",41.924885,-73.863664,,
12574,1304571,0,0.50,0.00,329,189,41.917688,-73.945658,,
12575,25622807,657877,9.89,0.25,"2,258",781,41.466704,-74.178871,,
12577,15203799,408016,5.87,0.16,"2,029",700,41.424040,-74.122142,,
12578,40541503,428467,15.65,0.17,"2,411",979,41.809125,-73.795858,,
12580,55835535,598407,21.56,0.23,"4,402","1,844",41.863649,-73.871534,,
12581,104718236,1021190,40.43,0.39,"2,246","1,231",41.901879,-73.700652,,
12582,33105980,1043487,12.78,0.40,"6,191","1,420",41.544294,-73.738443,,
12583,33717176,211480,13.02,0.08,"2,451","1,084",42.063367,-73.868652,,
12585,12748970,204004,4.92,0.08,885,335,41.726404,-73.691510,,
12586,61415272,1029698,23.71,0.40,"12,540","4,740",41.562765,-74.170102,,
12589,148535998,3334249,57.35,1.29,"17,228","5,192",41.623791,-74.158771,,
12590,89249211,1382142,34.46,0.53,"35,102","13,905",41.592556,-73.886853,,
12592,48443596,598767,18.70,0.23,"1,486",653,41.802074,-73.578624,,
12594,62322881,1600457,24.06,0.62,"4,275","1,692",41.684401,-73.557677,,
12601,48707908,694108,18.81,0.27,"43,398","17,530",41.701908,-73.911521,,
12603,83725860,601969,32.33,0.23,"42,810","16,411",41.675868,-73.864484,,
12604,255320,0,0.10,0.00,586,2,41.688266,-73.892261,,
12701,148945075,3585248,57.51,1.38,"11,324","6,521",41.650261,-74.700396,,
12719,44632414,1147677,17.23,0.44,"1,207",738,41.498250,-74.904285,,
12720,33270953,1346408,12.85,0.52,172,151,41.645848,-74.907849,,
12721,65672753,262339,25.36,0.10,"6,627","2,756",41.581723,-74.422421,,
12722,720906,0,0.28,0.00,158,77,41.590634,-74.374304,,
12723,81985907,1297012,31.65,0.50,"1,826","1,105",41.753100,-74.987694,,
12724,19570755,1404,7.56,0.00,245,189,41.837621,-74.958711,,
12725,175563256,268136,67.79,0.10,277,314,41.983131,-74.569700,,
12726,75838745,1681429,29.28,0.65,"1,162",811,41.708209,-75.017203,,
12729,57485832,895285,22.20,0.35,"1,874",865,41.475792,-74.623499,,
12732,64922639,1967789,25.07,0.76,786,582,41.551929,-74.874588,,
12733,13190880,115040,5.09,0.04,"1,446",710,41.724770,-74.617933,,
12734,35669164,94065,13.77,0.04,867,555,41.734585,-74.750460,,
12736,15763379,998,6.09,0.00,118,123,41.852843,-75.021754,,
12737,92723187,6011768,35.80,2.32,"1,910","1,242",41.501481,-74.798632,,
12738,16988123,122383,6.56,0.05,320,189,41.676179,-74.586120,,
12740,192577672,2721720,74.35,1.05,"1,886","1,148",41.938918,-74.433956,,
12741,21362293,316590,8.25,0.12,351,230,41.839141,-75.077725,,
12742,5568508,20998,2.15,0.01,181,131,41.724328,-74.723518,,
12743,21217377,1613736,8.19,0.62,389,333,41.548639,-74.831043,,
12745,4161115,0,1.61,0.00,178,100,41.783433,-75.024648,,
12746,36728527,837301,14.18,0.32,937,400,41.442383,-74.656826,,
12747,36139531,1169949,13.95,0.45,"1,714",920,41.750928,-74.692894,,
12748,56792304,398264,21.93,0.15,"2,076","1,160",41.774642,-74.922609,,
12749,7618590,66913,2.94,0.03,300,439,41.695254,-74.841166,,
12750,11019331,571521,4.25,0.22,187,120,41.729237,-74.967508,,
12751,8850777,1203793,3.42,0.46,"1,054",516,41.695872,-74.664427,,
12752,4487698,365223,1.73,0.14,242,248,41.680039,-74.994190,,
12754,68832503,457218,26.58,0.18,"7,221","3,915",41.799066,-74.736412,,
12758,394711185,3686289,152.40,1.42,"4,042","2,902",41.940283,-74.739118,,
12759,16019879,574943,6.19,0.22,"1,649","1,489",41.781730,-74.658853,,
12760,109596902,1044381,42.32,0.40,482,592,41.903931,-75.107835,,
12762,16425311,1269555,6.34,0.49,512,279,41.664364,-74.792204,,
12763,36955489,459645,14.27,0.18,942,699,41.676348,-74.522774,,
12764,154042083,4610051,59.48,1.78,"1,802","1,361",41.591553,-74.995556,,
12765,32358677,122187,12.49,0.05,885,419,41.852332,-74.621157,,
12766,20816277,13955,8.04,0.01,437,296,41.815208,-74.978854,,
12767,7657508,40778,2.96,0.02,126,81,41.838093,-74.994415,,
12768,90234888,1349859,34.84,0.52,"1,131",912,41.864443,-74.730022,,
12769,12781739,0,4.94,0.00,253,164,41.657943,-74.467280,,
12770,11652326,709961,4.50,0.27,296,193,41.449112,-74.843115,,
12771,89661260,1948412,34.62,0.75,"14,511","6,165",41.374380,-74.624279,,
12775,27151049,2812798,10.48,1.09,"2,297","1,557",41.615654,-74.592331,,
12776,284054836,3539018,109.67,1.37,"2,180","2,034",41.963382,-74.958681,,
12777,136637261,3712633,52.76,1.43,764,536,41.561802,-74.709618,,
12778,14797059,289051,5.71,0.11,633,"1,064",41.642678,-74.817550,,
12779,22232718,950536,8.58,0.37,"2,460","1,489",41.702466,-74.632195,,
12780,61706612,1855552,23.83,0.72,"2,312","1,102",41.440142,-74.727343,,
12781,11051465,0,4.27,0.00,307,168,41.619677,-74.466384,,
12783,86119538,2839651,33.25,1.10,"1,668","1,308",41.738633,-74.833724,,
12784,5854688,17004,2.26,0.01,94,59,41.669877,-74.638240,,
12785,43164075,2315153,16.67,0.89,"1,024",460,41.532391,-74.561271,,
12786,38752747,7226293,14.96,2.79,665,811,41.638630,-74.857203,,
12787,9090606,4208,3.51,0.00,452,256,41.795396,-74.845023,,
12788,60861148,548118,23.50,0.21,"2,908","1,373",41.787539,-74.589315,,
12789,24837343,351186,9.59,0.14,"1,838","1,564",41.704127,-74.571025,,
12790,114989586,4913713,44.40,1.90,"4,518","3,048",41.592121,-74.517603,,
12791,16984129,25567,6.56,0.01,737,417,41.817275,-74.892870,,
12792,8783380,6194,3.39,0.00,335,230,41.513920,-74.959820,,
12801,10226789,358646,3.95,0.14,"14,707","7,112",43.311160,-73.645286,,
12803,15328805,1268109,5.92,0.49,"7,567","3,272",43.290078,-73.629363,,
12804,137536468,5888953,53.10,2.27,"26,540","11,902",43.340954,-73.685911,,
12808,57457280,7381139,22.18,2.85,306,626,43.760148,-73.715618,,
12809,131112433,3340957,50.62,1.29,"3,528","1,759",43.237078,-73.454505,,
12810,171986539,2953833,66.40,1.14,627,363,43.491968,-73.985941,,
12811,4458806,0,1.72,0.00,127,65,43.605466,-74.028328,,
12812,160448216,11741977,61.95,4.53,150,324,43.875794,-74.389767,,
12814,117848404,849011,45.50,0.33,"1,574","1,822",43.624539,-73.636202,,
12815,94772411,7707307,36.59,2.98,871,"1,112",43.695951,-73.667874,,
12816,163571713,1063436,63.16,0.41,"4,610","2,400",43.044236,-73.382032,,
12817,138758721,5656000,53.58,2.18,"2,274","2,164",43.639585,-73.823628,,
12819,75047529,1202575,28.98,0.46,403,247,43.590870,-73.468547,,
12821,14369840,158825,5.55,0.06,"2,750",141,43.453564,-73.415995,,
12822,170474238,3745524,65.82,1.45,"6,200","3,110",43.228513,-73.922216,,
12823,11034861,209331,4.26,0.08,238,152,43.179961,-73.409117,,
12824,39273408,1260401,15.16,0.49,894,868,43.524757,-73.727177,,
12827,319466275,4006896,123.35,1.55,"3,877","1,860",43.460929,-73.529859,,
12828,119981527,3634806,46.33,1.40,"9,448","3,921",43.254993,-73.558355,,
12831,173966676,2568303,67.17,0.99,"17,416","6,748",43.195329,-73.691811,,
12832,208192313,1646167,80.38,0.64,"7,106","3,164",43.358466,-73.330271,,
12833,91286323,393998,35.25,0.15,"4,401","1,833",43.150000,-73.840896,,
12834,224494051,2468500,86.68,0.95,"6,594","2,914",43.094213,-73.500556,,
12835,252273569,5089050,97.40,1.96,"2,603","2,865",43.332745,-74.006337,,
12836,113827959,1218492,43.95,0.47,574,731,43.712340,-73.605592,,
12837,38317817,445621,14.79,0.17,857,367,43.476445,-73.255601,,
12838,13159674,5586,5.08,0.00,608,262,43.329069,-73.404949,,
12839,84244822,557730,32.53,0.22,"13,588","5,899",43.354486,-73.553953,,
12841,43945319,105970,16.97,0.04,77,326,43.605595,-73.533429,,
12842,491170981,25654780,189.64,9.91,"1,166","1,499",43.738346,-74.367058,,
12843,151715893,1554764,58.58,0.60,600,421,43.565104,-73.972748,,
12844,7089980,0,2.74,0.00,199,352,43.489396,-73.621194,,
12845,114704533,787124,44.29,0.30,"4,842","3,744",43.424048,-73.712740,,
12846,150632234,3025615,58.16,1.17,"3,298","2,106",43.345954,-73.789719,,
12847,1141125958,98234557,440.59,37.93,605,"1,316",44.008384,-74.609231,,
12849,7043412,28971,2.72,0.01,385,159,43.449567,-73.298320,,
12850,121116231,2286569,46.76,0.88,"2,835","1,390",43.102616,-73.981441,,
12851,287843673,6315597,111.14,2.44,366,350,43.841891,-74.034467,,
12852,316595914,13755025,122.24,5.31,436,692,43.936189,-74.163697,,
12853,225188658,3765949,86.95,1.45,"1,770","1,230",43.657786,-74.065037,,
12855,471847623,8333748,182.18,3.22,259,300,44.027010,-73.758053,,
12856,164699955,2777920,63.59,1.07,187,261,43.665940,-74.142961,,
12857,111194421,1426818,42.93,0.55,498,494,43.819563,-73.890620,,
12858,25343723,3748905,9.79,1.45,59,288,43.908933,-73.675780,,
12859,57024807,150828,22.02,0.06,"2,220",899,43.171875,-73.920872,,
12860,41666976,555306,16.09,0.21,748,510,43.757003,-73.843348,,
12861,84928002,1465753,32.79,0.57,609,674,43.746887,-73.417527,,
12862,6029642,519198,2.33,0.20,17,29,43.685403,-73.910321,,
12863,9307447,0,3.59,0.00,533,247,43.060377,-73.931904,,
12864,540542,0,0.21,0.00,36,150,43.727310,-74.305442,,
12865,187378618,892399,72.35,0.34,"3,663","1,819",43.214159,-73.347451,,
12866,173572752,10608102,67.02,4.10,"36,915","17,843",43.073715,-73.740236,,
12870,276867285,18310301,106.90,7.07,"1,509","1,765",43.830056,-73.761222,,
12871,77071744,2195297,29.76,0.85,"4,084","1,764",43.088569,-73.612965,,
12872,790310,0,0.31,0.00,31,60,43.874656,-73.734418,,
12873,54696406,569,21.12,0.00,736,406,43.117451,-73.311646,,
12874,55472480,796414,21.42,0.31,142,410,43.690560,-73.549746,,
12878,221646020,2699541,85.58,1.04,719,565,43.415025,-74.027450,,
12883,206813734,5119218,79.85,1.98,"5,025","2,900",43.836623,-73.552805,,
12884,1290125,0,0.50,0.00,486,201,43.088396,-73.591291,,
12885,186019419,4924927,71.82,1.90,"4,602","2,463",43.523052,-73.806561,,
12886,37497688,137940,14.48,0.05,269,195,43.682704,-73.934660,,
12887,216721070,2581093,83.68,1.00,"4,972","2,391",43.536760,-73.365798,,
12901,196711665,1925075,75.95,0.74,"33,439","14,456",44.704021,-73.471148,,
12903,1496374,6877,0.58,0.00,"1,217",649,44.680303,-73.445883,,
12910,168194247,923425,64.94,0.36,"2,148",874,44.855031,-73.636413,,
12911,224627,131066,0.09,0.05,36,19,44.521440,-73.460805,,
12912,234063678,11339146,90.37,4.38,"1,998","1,241",44.480950,-73.772496,,
12913,70246208,5760885,27.12,2.22,"1,157",646,44.430097,-74.002212,,
12914,82617750,425162,31.90,0.16,"1,044",421,44.927419,-74.602942,,
12916,107389627,35657,41.46,0.01,"2,135",935,44.834052,-74.515665,,
12917,111572726,0,43.08,0.00,"1,403",609,44.927638,-74.178909,,
12918,101768931,1075303,39.29,0.42,"2,381","1,023",44.700736,-73.676657,,
12919,99475036,801087,38.41,0.31,"3,037","1,514",44.964535,-73.447082,,
12920,240332312,3260016,92.79,1.26,"2,842","1,544",44.882768,-74.066012,,
12921,86036723,363044,33.22,0.14,"2,410","1,194",44.891337,-73.438073,,
12922,113875937,3637443,43.97,1.40,65,150,44.286614,-74.702114,,
12923,135679160,75209,52.39,0.03,632,344,44.960311,-73.939425,,
12924,7051378,196494,2.72,0.08,158,75,44.481354,-73.580617,,
12926,125565670,54989,48.48,0.02,"2,208",999,44.950817,-74.328997,,
12927,286462874,34203057,110.60,13.21,224,580,44.207326,-74.809703,,
12928,195534606,2201775,75.50,0.85,"2,028","1,117",43.963848,-73.583301,,
12929,3083885,0,1.19,0.00,"3,938",510,44.720027,-73.719234,,
12930,93669930,195597,36.17,0.08,634,367,44.720458,-74.543229,,
12932,165054727,2025047,63.73,0.78,"1,236",806,44.214880,-73.610200,,
12933,70856,0,0.03,0.00,17,7,44.890994,-73.845341,,
12934,152424209,54712,58.85,0.02,"1,074",506,44.875311,-73.873753,,
12935,255406522,9100083,98.61,3.51,"1,748",960,44.844657,-73.796933,,
12936,79797317,246063,30.81,0.10,599,539,44.285061,-73.401449,,
12937,84759742,11744,32.73,0.00,"1,572",718,44.960847,-74.478455,,
12939,10712786,57867,4.14,0.02,205,97,44.432955,-74.160828,,
12941,104831845,718113,40.48,0.28,"1,428",941,44.348458,-73.705667,,
12942,137102053,316872,52.94,0.12,646,589,44.232563,-73.827579,,
12943,266782108,1434185,103.01,0.55,459,603,44.122758,-73.883516,,
12944,233415227,4819477,90.12,1.86,"4,080","2,151",44.442367,-73.514751,,
12945,86008134,18693727,33.21,7.22,638,611,44.309091,-74.240440,,
12946,335263968,10506291,129.45,4.06,"5,492","3,694",44.206113,-74.046280,,
12950,122090752,366605,47.14,0.14,929,425,44.318369,-73.581246,,
12952,74692925,0,28.84,0.00,546,392,44.708318,-73.905659,,
12953,544978529,11224205,210.42,4.33,"15,836","5,610",44.745188,-74.260113,,
12955,79475690,10522730,30.69,4.06,381,361,44.806650,-73.970421,,
12956,23339134,475627,9.01,0.18,"1,259",547,44.097612,-73.481334,,
12957,82758629,0,31.95,0.00,"1,726",791,44.848323,-74.574604,,
12958,96217850,357588,37.15,0.14,"1,929",864,44.960855,-73.572178,,
12959,100049168,261371,38.63,0.10,"1,369",636,44.952351,-73.719912,,
12960,78741370,906675,30.40,0.35,"1,148",538,44.015756,-73.572348,,
12961,10361538,0,4.00,0.00,180,88,44.057111,-73.549539,,
12962,111388378,1070268,43.01,0.41,"5,499","2,283",44.701391,-73.605439,,
12964,89349554,1836919,34.50,0.71,161,140,44.125919,-73.626721,,
12965,24695575,63924,9.54,0.02,516,226,44.703456,-74.685289,,
12966,223147842,174302,86.16,0.07,"2,915","1,305",44.798893,-74.418685,,
12967,97402414,83171,37.61,0.03,"1,223",495,44.774921,-74.657566,,
12969,255505860,4808511,98.65,1.86,423,549,44.710879,-74.098205,,
12970,130223819,9345884,50.28,3.61,963,296,44.478136,-74.307514,,
12972,214262312,1511191,82.73,0.58,"6,364","2,619",44.554081,-73.569296,,
12973,92427930,3114229,35.69,1.20,187,136,44.287677,-74.594706,,
12974,20815331,37694,8.04,0.01,"1,599",838,44.060141,-73.464831,,
12975,7385720,0,2.85,0.00,265,170,44.529091,-73.430536,,
12976,99378671,3101939,38.37,1.20,260,246,44.520475,-74.213593,,
12977,23166590,290683,8.94,0.11,"1,753",61,44.277015,-74.072971,,
12978,6769081,0,2.61,0.00,403,161,44.616360,-73.808712,,
12979,8804362,0,3.40,0.00,"2,304","1,175",44.991653,-73.373373,,
12980,662489149,8880178,255.79,3.43,"1,304","1,259",44.563851,-74.524079,,
12981,274546708,2005451,106.00,0.77,"2,253","1,080",44.627097,-73.845850,,
12983,545251438,53331721,210.52,20.59,"7,494","4,840",44.286420,-74.171593,,
12985,143316060,665874,55.33,0.26,"1,072",481,44.560709,-73.738967,,
12986,585953923,61745161,226.24,23.84,"6,120","3,741",44.226011,-74.480931,,
12987,16055169,38405,6.20,0.01,201,142,44.320841,-73.753460,,
12989,382676633,7289385,147.75,2.81,"1,010",863,44.520107,-74.069770,,
12992,164634896,331200,63.57,0.13,"4,778","2,046",44.817451,-73.517698,,
12993,186644554,612822,72.06,0.24,"1,623","1,197",44.211345,-73.476221,,
12996,131811853,2260753,50.89,0.87,"2,086","1,650",44.355279,-73.448053,,
12997,168962963,602556,65.24,0.23,"1,239",827,44.372798,-73.892043,,
12998,31177925,319714,12.04,0.12,526,262,44.077800,-73.576545,,
13020,1211234,0,0.47,0.00,150,54,42.816424,-76.074504,,
13021,311324723,577631,120.20,0.22,"39,506","18,525",42.922279,-76.558539,,
13024,107576,0,0.04,0.00,"1,733",0,42.934596,-76.574232,,
13026,72911005,39923,28.15,0.02,"1,914",917,42.744043,-76.652266,,
13027,176272751,4807535,68.06,1.86,"31,637","13,717",43.166437,-76.364345,,
13028,48400493,781132,18.69,0.30,"1,350",817,43.301187,-75.926835,,
13029,45892381,992796,17.72,0.38,"7,109","2,999",43.225942,-76.151342,,
13030,34495568,227742,13.32,0.09,"3,892","1,845",43.152233,-75.962695,,
13031,62949560,25879,24.30,0.01,"15,551","6,730",43.044464,-76.310286,,
13032,211148666,225951,81.52,0.09,"12,790","5,785",43.081629,-75.766050,,
13033,159671235,1329876,61.65,0.51,"3,556","1,492",43.188494,-76.562626,,
13034,62926173,243140,24.30,0.09,"1,989","1,089",42.961986,-76.711189,,
13035,193709202,5066142,74.79,1.96,"8,617","3,542",42.940856,-75.830147,,
13036,126354465,1266904,48.79,0.49,"8,680","3,723",43.309256,-76.166775,,
13037,105984908,234737,40.92,0.09,"8,897","3,727",43.062303,-75.855983,,
13039,58521744,18438,22.60,0.01,"17,537","6,805",43.172142,-76.056249,,
13040,248912987,1373899,96.11,0.53,"2,758","1,313",42.559649,-75.930761,,
13041,47296860,1109331,18.26,0.43,"10,705","3,992",43.192089,-76.192302,,
13042,86798635,929513,33.51,0.36,"2,356","1,265",43.260450,-75.852580,,
13044,71937295,792410,27.78,0.31,"2,512","1,090",43.291249,-75.996241,,
13045,276033075,889470,106.58,0.34,"30,112","12,112",42.573807,-76.202102,,
13051,610483,0,0.24,0.00,153,71,42.876725,-75.908639,,
13052,125504924,2383795,48.46,0.92,"1,679","1,104",42.712310,-75.865194,,
13053,85939700,660726,33.18,0.26,"5,015","2,084",42.479574,-76.267919,,
13054,57244069,469494,22.10,0.18,"1,582",633,43.169352,-75.666823,,
13057,72130925,553525,27.85,0.21,"14,992","6,828",43.101955,-76.037919,,
13060,41419807,46324,15.99,0.02,"2,806","1,191",43.022862,-76.411872,,
13061,67308609,2528909,25.99,0.98,"1,040",754,42.871851,-75.762081,,
13062,467202,16917,0.18,0.01,173,87,42.484095,-76.384376,,
13063,90064298,272669,34.77,0.11,"1,898",719,42.847849,-75.977961,,
13064,459975,2948338,0.18,1.14,64,122,43.328996,-76.711915,,
13066,38779103,757897,14.97,0.29,"12,390","5,551",43.032475,-76.000667,,
13068,132436583,814774,51.13,0.31,"5,368","2,281",42.492431,-76.359199,,
13069,277685461,9567052,107.21,3.69,"24,931","10,482",43.329278,-76.380658,,
13071,64278146,65138,24.82,0.03,"1,023",430,42.675103,-76.542586,,
13072,121858807,46852,47.05,0.02,"1,123",482,42.762210,-75.763989,,
13073,142190941,305530,54.90,0.12,"6,423","2,620",42.583670,-76.387923,,
13074,109971697,443363,42.46,0.17,"4,488","1,808",43.310916,-76.549843,,
13076,39649587,18971,15.31,0.01,"2,393",918,43.353717,-76.149319,,
13077,182750477,1160209,70.56,0.45,"6,735","2,948",42.727972,-76.211043,,
13078,100804191,1199426,38.92,0.46,"9,866","3,759",42.958484,-76.061077,,
13080,72665577,6508492,28.06,2.51,"3,631","1,772",43.093210,-76.485258,,
13081,75001738,30756,28.96,0.01,"1,169",671,42.673617,-76.627152,,
13082,61047647,1069998,23.57,0.41,"4,871","2,099",43.102730,-75.959889,,
13083,150207362,166057,58.00,0.06,"1,809",825,43.645972,-75.978676,,
13084,111384869,29634,43.01,0.01,"4,409","1,876",42.880541,-76.124474,,
13087,529334,437468,0.20,0.17,168,102,42.708597,-76.154050,,
13088,20613882,26880,7.96,0.01,"22,156","10,664",43.112421,-76.189457,,
13090,38997883,341769,15.06,0.13,"30,124","12,364",43.153084,-76.212402,,
13092,125679340,285569,48.53,0.11,"2,606","1,097",42.654563,-76.419295,,
13101,101286914,14017,39.11,0.01,"2,508","1,059",42.589125,-76.056007,,
13102,150735,2921,0.06,0.00,85,42,42.550304,-76.292002,,
13103,885765,37654,0.34,0.01,326,118,43.325759,-76.109544,,
13104,122382149,107771,47.25,0.04,"15,567","6,296",42.963030,-75.948439,,
13108,75560615,74517,29.17,0.03,"6,175","2,557",42.964845,-76.331113,,
13110,63645837,27177,24.57,0.01,"2,338","1,274",42.895398,-76.280364,,
13111,68911379,234920,26.61,0.09,"1,700",689,43.258488,-76.614264,,
13112,52456428,3440394,20.25,1.33,"1,973",837,43.106266,-76.417239,,
13113,1345153,0,0.52,0.00,287,103,43.162650,-76.538623,,
13114,162872189,1891938,62.89,0.73,"6,356","2,848",43.465706,-76.244786,,
13115,1200818,0,0.46,0.00,224,99,43.398646,-76.478779,,
13116,3421058,0,1.32,0.00,"3,457","1,457",43.074797,-76.007947,,
13117,2109606,0,0.81,0.00,188,85,43.009299,-76.707508,,
13118,265442135,493369,102.49,0.19,"6,382","2,853",42.755585,-76.387278,,
13120,44284159,186204,17.10,0.07,"2,328","1,066",42.933170,-76.175146,,
13122,48432164,38895,18.70,0.02,"1,174",453,42.841182,-75.856505,,
13123,6128027,0,2.37,0.00,314,170,43.233564,-75.769068,,
13124,12135105,13637,4.69,0.01,124,74,42.661074,-75.823604,,
13126,260997454,26021822,100.77,10.05,"37,205","15,047",43.438797,-76.457454,,
13131,137091413,416153,52.93,0.16,"3,895","1,580",43.423243,-76.091802,,
13132,61449007,1053733,23.73,0.41,"4,244","1,780",43.271927,-76.251046,,
13134,213790,0,0.08,0.00,119,51,42.967368,-75.684678,,
13135,82736732,2990577,31.94,1.15,"6,617","2,785",43.253687,-76.314375,,
13136,48279592,23754,18.64,0.01,534,286,42.614098,-75.844788,,
13138,102864,0,0.04,0.00,61,25,42.899087,-76.014634,,
13140,135382944,4235923,52.27,1.64,"4,488","1,957",43.060381,-76.650274,,
13141,33939704,142894,13.10,0.06,596,284,42.752494,-76.185697,,
13142,182678294,11761582,70.53,4.54,"6,451","3,449",43.554899,-76.137872,,
13143,111879849,1594678,43.20,0.62,"2,873","1,199",43.235788,-76.714793,,
13144,99528004,1868541,38.43,0.72,"1,531",843,43.568747,-75.977023,,
13145,43217548,253038,16.69,0.10,"1,926","1,238",43.650319,-76.119141,,
13146,140845258,1097616,54.38,0.42,"2,443",960,43.085645,-76.750191,,
13147,92942861,18808,35.89,0.01,"1,281",506,42.775406,-76.569608,,
13148,155557345,8449111,60.06,3.26,"10,750","5,188",42.914872,-76.783434,,
13152,167464813,122084,64.66,0.05,"7,941","4,281",42.890839,-76.372620,,
13153,2316193,0,0.89,0.00,399,167,42.996557,-76.453627,,
13155,52969188,138683,20.45,0.05,663,327,42.674546,-75.776726,,
13156,77622264,3051023,29.97,1.18,"2,000","1,315",43.325994,-76.661304,,
13157,1436842,151905,0.55,0.06,695,754,43.206652,-75.721431,,
13158,184818311,222904,71.36,0.09,"1,855",815,42.696935,-75.951068,,
13159,202266690,3230886,78.10,1.25,"5,184","2,238",42.802768,-76.111769,,
13160,55111472,46723,21.28,0.02,"2,027",946,42.827598,-76.648904,,
13162,4552385,56994,1.76,0.02,385,325,43.185045,-75.714741,,
13163,1372678,18713,0.53,0.01,339,146,43.079679,-75.710522,,
13164,27779643,22712,10.73,0.01,"2,338",852,43.096891,-76.312578,,
13165,176074241,849128,67.98,0.33,"10,741","4,640",42.916639,-76.883297,,
13166,105720651,2064707,40.82,0.80,"5,610","2,354",43.071922,-76.556821,,
13167,88385560,449444,34.13,0.17,"3,342","1,479",43.326421,-76.060260,,
13202,2583576,0,1.00,0.00,"5,438","2,594",43.043781,-76.150639,,
13203,4402313,0,1.70,0.00,"16,029","8,328",43.061111,-76.134924,,
13204,11416575,96435,4.41,0.04,"19,931","9,681",43.050817,-76.177473,,
13205,8934477,0,3.45,0.00,"19,201","8,693",43.005277,-76.142030,,
13206,10226509,0,3.95,0.00,"16,443","8,401",43.073466,-76.105820,,
13207,8003301,121463,3.09,0.05,"13,897","6,070",43.012868,-76.163402,,
13208,10810716,0,4.17,0.00,"22,854","10,211",43.078768,-76.145229,,
13209,32949932,287324,12.72,0.11,"13,243","6,104",43.068502,-76.224251,,
13210,11826334,7491,4.57,0.00,"27,606","8,905",43.031188,-76.127021,,
13211,12198995,0,4.71,0.00,"6,517","2,820",43.103572,-76.119484,,
13212,27434413,3219,10.59,0.00,"20,356","9,118",43.129697,-76.130154,,
13214,9467889,20027,3.66,0.01,"8,793","3,327",43.038709,-76.075591,,
13215,87896162,112676,33.94,0.04,"15,245","5,653",42.980793,-76.223386,,
13219,12845078,49323,4.96,0.02,"15,363","6,781",43.041266,-76.224195,,
13224,7716206,0,2.98,0.00,"8,891","3,968",43.037163,-76.102900,,
13290,628183,30039,0.24,0.01,0,0,43.069136,-76.173017,,
13301,6327547,423296,2.44,0.16,98,147,43.416050,-75.218175,,
13302,114374628,4436955,44.16,1.71,"1,610",954,43.498110,-75.965068,,
13303,91659582,63556,35.39,0.02,"1,153",529,43.367415,-75.468212,,
13304,45027709,603754,17.39,0.23,"1,684",764,43.243880,-75.160287,,
13305,2484758,0,0.96,0.00,293,111,43.892289,-75.421171,,
13308,100115979,1716710,38.65,0.66,"3,625","1,627",43.251266,-75.657668,,
13309,376736298,1885156,145.46,0.73,"5,889","2,818",43.452005,-75.355443,,
13310,19620637,238378,7.58,0.09,624,302,42.889620,-75.571545,,
13312,165097466,2623792,63.74,1.01,331,714,43.697077,-75.194701,,
13313,5829804,0,2.25,0.00,526,230,42.880221,-75.272902,,
13314,10036669,54450,3.88,0.02,443,193,42.816533,-75.319104,,
13315,127161872,439280,49.10,0.17,"1,419",718,42.744143,-75.143611,,
13316,420190728,717952,162.24,0.28,"6,460","3,021",43.418917,-75.739740,,
