GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US00985,985,ZCTA5 00985,24514,1328
8600000US00987,987,ZCTA5 00987,31599,1432
8600000US01001,1001,ZCTA5 01001,60775,7022
8600000US01002,1002,ZCTA5 01002,55082,5750
8600000US01003,1003,ZCTA5 01003,-,**
8600000US01005,1005,ZCTA5 01005,68361,9320
8600000US01007,1007,ZCTA5 01007,74221,7748
8600000US01008,1008,ZCTA5 01008,71979,7245
8600000US01009,1009,ZCTA5 01009,40929,9858
8600000US01010,1010,ZCTA5 01010,82365,18054
8600000US01011,1011,ZCTA5 01011,65324,5748
8600000US01012,1012,ZCTA5 01012,56146,11936
8600000US01013,1013,ZCTA5 01013,41342,2655
8600000US01020,1020,ZCTA5 01020,52236,4038
8600000US01022,1022,ZCTA5 01022,60353,8995
8600000US01026,1026,ZCTA5 01026,51213,3214
8600000US01027,1027,ZCTA5 01027,58551,5303
8600000US01028,1028,ZCTA5 01028,84173,7593
8600000US01029,1029,ZCTA5 01029,52566,11014
8600000US01030,1030,ZCTA5 01030,68326,9906
8600000US01031,1031,ZCTA5 01031,43583,6472
8600000US01032,1032,ZCTA5 01032,65000,16346
8600000US01033,1033,ZCTA5 01033,79647,8465
8600000US01034,1034,ZCTA5 01034,77448,3802
8600000US01035,1035,ZCTA5 01035,74737,9919
8600000US01036,1036,ZCTA5 01036,79639,6412
8600000US01037,1037,ZCTA5 01037,91471,32291
8600000US01038,1038,ZCTA5 01038,65536,14638
8600000US01039,1039,ZCTA5 01039,68500,15607
8600000US01040,1040,ZCTA5 01040,35550,2700
8600000US01050,1050,ZCTA5 01050,52813,14829
8600000US01053,1053,ZCTA5 01053,59850,18123
8600000US01054,1054,ZCTA5 01054,78125,9534
8600000US01056,1056,ZCTA5 01056,61410,4384
8600000US01057,1057,ZCTA5 01057,66343,7586
8600000US01060,1060,ZCTA5 01060,53427,5629
8600000US01062,1062,ZCTA5 01062,64727,6301
8600000US01063,1063,ZCTA5 01063,-,**
8600000US01066,1066,ZCTA5 01066,-,**
8600000US01068,1068,ZCTA5 01068,80577,6320
8600000US01069,1069,ZCTA5 01069,54412,4597
8600000US01070,1070,ZCTA5 01070,57031,6670
8600000US01071,1071,ZCTA5 01071,74688,6734
8600000US01072,1072,ZCTA5 01072,68203,9042
8600000US01073,1073,ZCTA5 01073,68693,13561
8600000US01074,1074,ZCTA5 01074,58140,23426
8600000US01075,1075,ZCTA5 01075,62408,4081
8600000US01077,1077,ZCTA5 01077,81967,3760
8600000US01079,1079,ZCTA5 01079,43654,36301
8600000US01080,1080,ZCTA5 01080,42794,11222
8600000US01081,1081,ZCTA5 01081,52768,8302
8600000US01082,1082,ZCTA5 01082,52709,5314
8600000US01083,1083,ZCTA5 01083,37126,8958
8600000US01084,1084,ZCTA5 01084,49886,11616
8600000US01085,1085,ZCTA5 01085,61211,2692
8600000US01086,1086,ZCTA5 01086,-,**
8600000US01088,1088,ZCTA5 01088,41875,22937
8600000US01089,1089,ZCTA5 01089,52806,4545
8600000US01092,1092,ZCTA5 01092,48679,18358
8600000US01093,1093,ZCTA5 01093,82222,23359
8600000US01094,1094,ZCTA5 01094,19028,20784
8600000US01095,1095,ZCTA5 01095,86908,8977
8600000US01096,1096,ZCTA5 01096,70438,7781
8600000US01097,1097,ZCTA5 01097,40556,20391
8600000US01098,1098,ZCTA5 01098,71500,3585
8600000US01103,1103,ZCTA5 01103,13666,2848
8600000US01104,1104,ZCTA5 01104,29184,2608
8600000US01105,1105,ZCTA5 01105,17657,2158
8600000US01106,1106,ZCTA5 01106,106296,9588
