COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01015,36253,0.000000000,0.000286574,0.000000000,0.000026939
01015,36202,0.026851135,0.101590486,0.001489203,0.033418192
01015,36206,0.087288946,0.062329847,0.078183172,0.084777953
01017,36850,0.008668698,0.005007153,0.004975124,0.008351733
01017,36274,0.015761269,0.015021459,0.007462687,0.015551502
01017,36862,0.173584113,0.190987124,0.340796020,0.177978305
01017,36801,0.005674057,0.000000000,0.002487562,0.005231833
01017,36276,0.010034675,0.005007153,0.000000000,0.009503696
01017,36855,0.046548282,0.019313305,0.032338308,0.044446578
01017,36863,0.368551014,0.383404864,0.383084577,0.369828165
01017,36854,0.338657140,0.364091559,0.216417910,0.338005184
01017,36852,0.016969633,0.013590844,0.004975124,0.016511472
01017,36879,0.015551119,0.003576538,0.007462687,0.014591533
01019,35961,0.021239453,0.009174312,0.000000000,0.020296326
01019,35960,0.396348560,0.738532110,0.596273292,0.418713213
01019,35973,0.108670352,0.028669725,0.024844720,0.103037684
01019,35967,0.012510911,0.005733945,0.000000000,0.011974833
01019,35959,0.197846960,0.081422018,0.229813665,0.191326703
01019,36272,0.105542624,0.032110092,0.037267081,0.100466816
01019,35903,0.000727379,0.001146789,0.000000000,0.000744199
01019,36275,0.000000000,0.001146789,0.000000000,0.000067654
01019,35983,0.142493454,0.099770642,0.105590062,0.139571071
01019,35984,0.011565319,0.000000000,0.006211180,0.010824707
01019,35901,0.003054990,0.002293578,0.000000000,0.002976795
01021,36758,0.011039558,0.006088280,0.000000000,0.010658415
01021,36091,0.086476541,0.035007610,0.042056075,0.083161423
01021,35085,0.193790248,0.092846271,0.079439252,0.187037992
01021,36792,0.011545538,0.003805175,0.014018692,0.011131167
01021,35171,0.068721251,0.038812785,0.046728972,0.066829981
01021,36793,0.007313707,0.006849315,0.009345794,0.007306172
01021,36750,0.063155474,0.043378995,0.219626168,0.063477738
01021,35115,0.052345906,0.006088280,0.032710280,0.049553034
01021,35040,0.021343146,0.004566210,0.018691589,0.020371325
01021,36790,0.005335787,0.000761035,0.000000000,0.005028365
01021,36006,0.009475621,0.003805175,0.023364486,0.009283136
01021,35045,0.327414903,0.694824962,0.485981308,0.349621798
01021,35046,0.132474701,0.060121766,0.028037383,0.127428228
01021,36051,0.009567617,0.003044140,0.000000000,0.009111226
01023,36908,0.169171866,0.122222222,0.043478261,0.165606783
01023,36922,0.048213273,0.002222222,0.000000000,0.045177530
01023,36912,0.144781622,0.008888889,0.000000000,0.135797562
01023,36919,0.139960295,0.073333333,0.021739130,0.135267621
